v,vw,o,c,h,l,t,n
34918893.0,260.1715,257.35,261.12,263.04,255.35,1652414400000,452458
32539933.0,260.8411,259.955,261.5,265.82,255.78,1652673600000,402395
28828799.0,265.5584,266.11,266.82,268.33,262.46,1652760000000,346098
31355985.0,256.42,263.0,254.08,263.6,252.77,1652846400000,414290
32692286.0,254.4025,253.9,253.14,257.67,251.88,1652932800000,408722
39164899.0,251.557,257.24,252.56,258.54,246.44,1653019200000,518558
33175379.0,258.9217,255.49,260.65,261.5,253.43,1653278400000,386147
29043904.0,257.8803,257.89,259.62,261.33,253.5,1653364800000,357104
28547947.0,260.9506,258.14,262.52,264.58,257.125,1653451200000,340324
25002105.0,265.2818,262.27,265.9,267.11,261.4294,1653537600000,297969
26910824.0,271.6528,268.48,273.24,273.34,267.56,1653624000000,307860
37827695.0,272.0011,272.53,271.87,274.77,268.93,1653969600000,363100
25285874.0,273.3295,275.195,272.42,277.69,270.04,1654056000000,321548
44008205.0,269.0219,264.45,274.58,274.65,261.6,1654142400000,532530
28058958.0,270.3279,270.31,270.02,273.45,268.41,1654228800000,303810
22397042.0,270.0763,272.06,268.75,274.18,267.22,1654488000000,260013
22860677.0,270.6967,266.635,272.5,273.13,265.94,1654574400000,247047
17372341.0,271.1519,271.71,270.41,273.0,269.61,1654660800000,234208
26439728.0,268.0203,267.78,264.79,272.7081,264.63,1654747200000,301845
31445841.0,254.9867,260.58,252.99,260.58,252.53,1654833600000,459375
45913188.0,244.2909,245.11,242.26,249.0242,241.53,1655092800000,587062
28651487.0,243.7922,243.86,244.49,245.74,241.51,1655179200000,370359
33111729.0,250.6363,248.31,251.76,255.3,246.42,1655265600000,410433
33169160.0,244.875,245.98,244.97,247.4174,243.02,1655352000000,437473
43081680.0,247.3623,244.7,247.65,250.5,244.03,1655438400000,426273
29928297.0,253.4288,250.255,253.74,254.75,249.51,1655784000000,325280
25961215.0,254.1738,251.89,253.13,257.17,250.37,1655870400000,305208
25861449.0,257.2249,255.57,258.86,259.37,253.63,1655956800000,317666
33908991.0,265.9715,261.808,267.7,267.98,261.72,1656043200000,341714
24615114.0,265.2573,268.205,264.89,268.3,263.28,1656302400000,288957
27377747.0,259.1302,263.98,256.48,266.91,256.32,1656388800000,337120
20069839.0,260.0577,257.59,260.26,261.97,255.76,1656475200000,267537
31713368.0,256.7307,257.05,256.83,259.53,252.9,1656561600000,350608
22837692.0,257.7792,256.39,259.58,259.77,254.61,1656648000000,298425
22971634.0,259.6188,256.16,262.85,262.98,254.74,1656993600000,336748
23809419.0,265.3515,263.75,266.21,267.99,262.4,1657080000000,297474
20859874.0,267.941,265.12,268.4,269.055,265.02,1657166400000,279545
19658751.0,266.3527,264.79,267.66,268.1,263.285,1657252800000,263735
19497608.0,264.4908,265.65,264.51,266.53,262.18,1657512000000,233465
35846600.0,256.3041,265.88,253.67,265.94,252.04,1657598400000,432650
29497423.0,251.3602,250.19,252.72,253.55,248.11,1657684800000,388753
25102823.0,251.4169,250.57,254.08,255.1374,245.94,1657771200000,338720
29774050.0,257.0741,255.72,256.72,260.3699,254.7727,1657857600000,320549
20975034.0,256.9949,259.75,254.25,260.84,253.3,1658116800000,259992
25012562.0,257.9481,257.575,259.53,259.72,253.68,1658203200000,285207
22788282.0,261.9933,259.9,262.27,264.87,258.91,1658289600000,292189
22404675.0,262.0806,259.79,264.84,264.89,257.03,1658376000000,266470
21880990.0,261.3876,265.24,260.36,265.33,259.07,1658462400000,275092
21055998.0,258.5975,260.995,258.83,261.5,256.81,1658721600000,245812
39322017.0,252.4793,259.86,251.9,259.88,249.57,1658808000000,523732
45987389.0,265.6154,261.16,268.74,270.05,258.85,1658894400000,539330
33459327.0,274.291,269.75,276.41,277.84,267.87,1658980800000,413167
32138752.0,279.8359,277.7,280.74,282.0,276.63,1659067200000,359385
21539580.0,278.4445,277.82,278.01,281.28,275.84,1659326400000,296190
22754184.0,274.9038,276.0,274.82,277.89,272.38,1659412800000,302750
23518874.0,281.282,276.76,282.47,283.5,276.61,1659499200000,305573
18098668.0,282.5465,281.8,283.65,283.8,280.1677,1659585600000,242902
16774606.0,281.721,279.15,282.91,283.65,278.68,1659672000000,240178
18757818.0,282.0016,284.05,280.32,285.92,279.32,1659931200000,258506
23405238.0,281.3194,279.64,282.3,283.08,277.61,1660017600000,264734
24652845.0,288.6242,288.17,289.16,289.81,286.94,1660104000000,301911
20065938.0,288.1876,290.85,287.02,291.21,286.51,1660190400000,250692
22619675.0,289.9108,288.48,291.91,291.91,286.94,1660276800000,236645
18053154.0,292.4294,291.0,293.47,294.18,290.11,1660536000000,220400
18102882.0,292.4112,291.99,292.71,294.04,290.42,1660622400000,238194
18203358.0,291.3739,289.74,291.32,293.35,289.47,1660708800000,243421
17032192.0,290.5375,290.189,290.17,291.91,289.08,1660795200000,220664
20570033.0,286.8317,288.9,286.15,289.25,285.56,1660881600000,242758
25061070.0,278.8803,282.08,277.75,282.46,277.22,1661140800000,291816
17527409.0,276.841,276.44,276.44,278.86,275.4,1661227200000,216859
18137019.0,276.0336,275.41,275.79,277.23,275.11,1661313600000,225085
16583407.0,276.986,277.33,278.85,279.02,274.52,1661400000000,207794
27549307.0,271.1515,279.08,268.09,280.34,267.98,1661486400000,333187
20320044.0,265.6183,265.85,265.23,267.4,263.85,1661745600000,268266
22767071.0,262.964,266.67,262.97,267.05,260.66,1661832000000,273161
24791834.0,262.8825,265.39,261.47,267.11,261.33,1661918400000,273069
23263431.0,258.2566,258.87,260.4,260.89,255.41,1662004800000,332384
22855380.0,258.8321,261.695,256.06,264.74,254.47,1662091200000,308514
21328242.0,254.1903,256.2,253.25,257.83,251.94,1662436800000,295717
24126700.0,256.7283,254.7,258.09,258.83,253.22,1662523200000,259248
20319911.0,257.6878,257.51,258.52,260.43,254.79,1662609600000,256506
22093190.0,263.845,260.5,264.46,265.23,260.29,1662696000000,279508
18747690.0,266.392,265.78,266.65,267.45,265.16,1662955200000,230393
33353318.0,254.603,258.84,251.99,260.4,251.59,1663041600000,431420
23912954.0,252.032,253.53,252.22,254.23,249.86,1663128000000,303097
